,Nom Officiel Département,Code Officiel Commune,Nom Officiel Commune,population,latitude,longitude,is_prefecture,is_sous_prefecture
70,Doubs,25411,Morteau,6867.0,47.05,6.550003,False,False
71,Doubs,25422,Neuchâtel-Urtière,168.0,47.35,6.75,False,False
72,Doubs,25426,Noirefontaine,327.0,47.35,6.75,False,False
73,Doubs,25436,Orve,56.0,47.35,6.550003,False,False
74,Doubs,25477,Rancenay,412.0,47.15,5.949997,False,False
75,Doubs,25482,Recologne,701.0,47.25,5.850006,False,False
76,Doubs,25494,Rochejean,729.0,46.75,6.25,False,False
77,Doubs,25507,Rouhe,77.0,47.05,5.949997,False,False
78,Doubs,25536,Sauvagney,194.0,47.35,5.949997,False,False
79,Doubs,25540,Semondans,312.0,47.55,6.649994,False,False
80,Doubs,25547,Sochaux,3795.0,47.55,6.850006,False,False
81,Doubs,25611,La Vèze,486.0,47.25,6.050003,False,False
82,Doubs,25617,Villars-sous-Dampjoux,350.0,47.35,6.75,False,False
83,Doubs,25629,Voillans,196.0,47.35,6.449997,False,False
84,Drôme,26021,Autichamp,143.0,44.65,4.949997,False,False
85,Drôme,26070,Chamaret,512.0,44.35,4.850006,False,False
86,Drôme,26073,Chantemerle-lès-Grignan,241.0,44.45,4.850006,False,False
87,Drôme,26084,Châteauneuf-sur-Isère,4038.0,45.05,4.949997,False,False
88,Drôme,26103,Condorcet,504.0,44.45,5.149994,False,False
89,Drôme,26170,Malissard,3271.0,44.95,4.949997,False,False
90,Drôme,26173,Marches,869.0,44.95,5.149994,False,False
91,Drôme,26206,Montmeyran,2960.0,44.85,4.949997,False,False
92,Drôme,26222,Orcinas,38.0,44.55,5.149994,False,False
93,Drôme,26225,Parnans,707.0,45.15,5.149994,False,False
94,Drôme,26235,Pierrelatte,13799.0,44.35,4.649994,False,False
95,Drôme,26242,Le Poët-en-Percip,19.0,44.25,5.350006,False,False
96,Drôme,26295,Saint-Barthélemy-de-Vals,1847.0,45.15,4.850006,False,False
97,Drôme,26311,Saint-Laurent-en-Royans,1396.0,45.05,5.350006,False,False
98,Drôme,26319,Saint-Michel-sur-Savasse,563.0,45.15,5.149994,False,False
